20230915	09:50:22	82f21836-3e7c-4506-8ab7-f0ede612469d	/new-page.html 	 GET
20230915	09:50:22	d17c532b-c689-4c63-8125-bea6e79e2f85	/css/style.css 	 GET
20230915	09:50:22	60676741-beef-41a1-8060-2f59fd4d6789	/img/img1.jpg 	 GET
20230915	09:50:22	86ad1473-91c0-4f5a-b851-0299f2c853df	/favicon.ico 	 GET
20230915	09:50:24	28a484de-5c8f-4d44-89b5-c71299e0009f	/new-page.html 	 GET
20230915	09:50:24	ce87df0d-24e8-4fed-a756-6e643407194b	/css/style.css 	 GET
20230915	09:50:24	4432d7b0-4d07-406c-85c1-f9348d9c02d2	/img/img1.jpg 	 GET
20230915	10:38:57	3d222d2e-01e8-4466-a0e8-340b3359139a	/new-page.html 	 GET
20230915	10:39:39	a837b0d8-7f31-4f6b-b5fe-719985c8ccfa	/new-page.html 	 GET
20230915	10:39:39	e3b06e0c-dec3-4b5c-841d-e00ffb3706ed	/css/style.css 	 GET
20230915	10:39:39	fe4e2b5f-a240-4d77-afd7-1a64d8937f80	/img/img1.jpg 	 GET
20230916	14:30:41	c860a6bc-9626-4081-be3a-21e1fc2bcde5	GET	undefined	/
20230916	14:30:41	1cab10be-8790-46c9-a8cb-814cbcc2a4f6	GET	undefined	/css/style.css
20230916	14:32:44	795aa030-0281-423d-9f5d-dec5a22f8b26	GET	undefined	/
20230916	14:32:44	fe9aedca-14fe-46e7-8f7e-4cd007099f09	GET	undefined	/css/style.css
20230916	15:14:11	99513e97-e16b-4be3-a464-6b4554d8bb9e	GET	undefined	/
20230916	15:15:18	90c95f6c-187f-46db-837d-c79d32abfb7c	GET	undefined	/
20230916	15:15:18	d098eded-f86d-4a5b-a22d-fc16f3cea7a1	GET	undefined	/css/style.css
20230916	15:21:40	0c05f20b-4b39-483a-9a30-e471abea1bb7	GET	undefined	/
20230916	15:22:07	a6ebf1fe-2313-4bb2-b4c8-8012ad49e75b	GET	undefined	/
20230916	15:22:07	64037d58-da42-4412-929c-90f5d159cad0	GET	undefined	/css/style.css
20230916	15:31:27	85596ddd-aa8e-46ab-8bec-725b48ddf8d6	GET	undefined	/ll
20230916	15:31:28	93747375-c4e7-4303-8a64-67cd162a9d16	GET	undefined	/css/style.css
20230916	15:34:57	f6aa55c5-73d4-43d1-9fc2-3e0ccff203af	GET	undefined	/ll
20230916	15:34:57	4646f492-13de-4a54-badd-b475b9c63518	GET	undefined	/css/style.css
20230916	20:25:43	56142d8e-850c-460e-9a0f-895b8891602d	GET	undefined	/subdir/index
20230916	20:26:51	73101714-3f6f-4a1f-880d-bd79e23c339a	GET	undefined	/subdir/index/u
20230916	20:26:51	5c5f8535-2347-4e09-8b72-6829de4b57ad	GET	undefined	/subdir/index/css/style.css
20230916	20:29:30	8d5ed465-b956-4fe4-ba5d-67c404fa3ea4	GET	undefined	/subdir/inde
20230916	20:29:30	c0a677bb-b737-40a6-83de-312505352ef7	GET	undefined	/subdir/css/style.css
20230916	20:29:44	844c920f-9bef-4227-a745-9b584ea44e48	GET	undefined	/
20230916	20:29:44	afb57e67-100f-4b5e-bb76-e37573eb8a25	GET	undefined	/css/style.css
